2272	T.H.E.M./Sanko North America	Booth: 5579	['Marlton,', 'NJ', 'United States']	The home of the Stick Pack. T.H.E.M. is North America’s premier contract packager for single-serve products and distributor of stick pack, packet, and sachet packaging machinery.  For the past 25 years, T.H.E.M. has exclusively represented Sanko Machinery, Japan’s leader in single-serve packaging equipment and the inventor of stick packs.  Operating as both the OEM manufacturer and a contract packager allows T.H.E.M. to give our clients the most comprehensive perspective for their project.	Brands: Sanko Machinery	['Condiments & Sauces', 'Cosmetics Personal Care', 'Services', 'Special Attributes']	[['Condiments & Sauces', 'Salad Dressings'], ['Deodorant & Anti-Perspirant'], ['Contract Manufacturing'], ['Organic Food & Bev']]
2273	Tabanero Holdings	Booth: 694	['Delray Beach,', 'FL', 'United States']	N/A	Brands: Tabanero	['Special Attributes']	[['Cruelty-Free', 'Dairy Free', 'Gluten/Wheat Free', 'Low Carb', 'Specialty/Gourmet', 'Vegan']]
2274	Táche Pistachio Milk	Booth: N1447	['New York,', 'NY', 'United States']	N/A	N/A	['Beverages', 'Dairy Alternatives']	[['Coffee'], ['Milk']]
2275	Tacodeli	Booth: 8205	['Austin,', 'TX', 'United States']	N/A	N/A	[]	[]
2276	Tahitian Gold Co., Inc.	Booth: 1029	['Signal Hill,', 'CA', 'United States']	Tahitian Gold specializes in providing high-quality vanilla products for natural food enthusiasts in both food service and retail. Our premium ingredients are preferred by professional bakers, chefs, and ingredient purists. We use a proprietary grinding process to retain all the flavor compounds of freshly cured vanilla beans, which results in exceptional flavor and zero waste. Explore the versatility of our Ground Vanilla Beans, Pastes, Extracts, Sugar, Fleur de Sel, and unique blends.	Brands: Tahitian Gold Co
	['Raw Ingredients', 'Special Attributes']	[['**flavors'], ['Allergy Free', 'Cruelty-Free', 'Food Service Ready', 'Organic Ingredients', 'Specialty/Gourmet', 'Vegan']]
2277	Taika	Booth: N337	['Walnut,', 'CA', 'United States']	N/A	N/A	[]	[]
2278	Taiwan First Biotechnology, Inc.	Booth: 2699D	['Chiayi County,', 'Taiwan']	 Taiwan First Biotechnology is founded in 1998 specilalized in OEM/ODM production of shelf stable diversified value-added beverages. We have 3 state-of-art "aseptic cold-filling" PET production line that reach 15 MM cases and 1 tetra production line with annual production capacity of 3 MM cases. We pioneer Taiwan's first enzyme conversion technology integrated aseptic cold-filling PET production line to produce value added drinks such as functional oat drinks, lactose reduced dairy, and cereal-based beverages. 	Brands: Frescafina
-Target on drinkable breakfast
-Nutrient-balanced, low fat, fiber and protein
-Multi-flavors, pairing with breakfast favorites including refreshing fruits, toasted nuts, and trendy healthy grains.	['Services', 'Special Attributes']	[['Contract Manufacturing'], ['Dietetic', 'Functional Beverage']]
2279	Taiwan Hon Chuan Enterprise Co., Ltd.	Booth: 2657	['Taichung,', 'Taiwan']	N/A	N/A	['Packaging', 'Services']	[['Packaging Material', 'Plastic Bottles', 'Plastic Products', 'Recycled Products'], ['Contract Manufacturing']]
2280	Takari International, Inc.	Booth: 1680	['Ontario,', 'CA', 'United States']	Importer and Distributor of Organic and Natural products all about Coconut from Coconut Cream, Coconut Milk, Coconut Water, Coconut Sugar, Coconut Powder, Coconut Dessert, Coconut MCT Oil, Coconut Sugar and Other items include Tempeh Chips, Soursop juices, Ashitaki healthy noodle, Butter Cookies, Organic Herbal Tea.	Brands: COCO SUGAR, DANISA , D'NATURAL, KARA, MUSTIKA RATU, TAKARI	['Special Attributes']	[['Dairy Free', 'Ethnic', 'Food Service Ready', 'Gluten/Wheat Free', 'Kosher/Parve', 'Specialty/Gourmet', 'Vegan']]
2281	Talya Herbal	Booth: 3308	['Antalya,', 'Antalya', 'Türkiye']	Talya Herbal produce many items in herbal products sector, such as natural oils and butters, aromatherapy blends, care serums, bee products and honey mixtures, dietary supplements and vitamins, hydrolates and special products.    Production facility is located in Antalya/Turkey, which hosts an average of twelve thousand types of endemic plants. Talya Herbal exports its products 25 countries in the world.	Brands: Talya	[]	[]
2282	Tangled Brands Inc.	Booth: 8123	['Brooklyn,', 'NY', 'United States']	N/A	N/A	[]	[]
2283	Tarazi Specialty Foods	Booth: N1944	['Chino,', 'CA', 'United States']	Tarazi is the leader in Mediterranean foods. Our Falafel Mix and Tahini were created using a traditional family recipes and are requested by name as the product of choice in select restaurants and kitchens worldwide. We continue to use only the finest ingredients of the highest quality to bring the traditional flavors of the Mediterranean home to you. We know you have a choice when it comes to your Mediterranean foods and, from our family to yours, we thank you for choosing Tarazi.	Brands: Tarazi	['Special Attributes']	[['Allergy Free', 'Dairy Free', 'Kosher/Parve', 'Specialty/Gourmet', 'Vegan', 'Gluten/Wheat Free', 'Ethnic/Multicultural', 'Organic Ingredients']]
2284	TARTUFLANGHE	Booth: N2241	['Union,', 'NJ', 'United States']	N/A	N/A	['Baking & Cooking Ingredients', 'Condiments & Sauces', 'Pasta Sauce & Noodles', 'Raw Ingredients', 'Seasonings & Spices', 'Snacks']	[['Honey & Syrups'], ['Condiments & Sauces', 'Hot Sauces', 'Mayonnaise', 'Mustard', 'Shelf Stable Dips & Spreads'], ['Dry Pasta & Noodles', 'Pasta Sauce'], ['Fruits & Vegetables'], ['Dry Seasoning Mixes & Blends', 'Salt'], ['Chips', 'Crackers', 'Fruit Snacks', 'Nuts & Seeds']]
2285	Tash Market Place Inc.	Booth: 2992	['commerce,', 'CA', 'United States']	N/A	N/A	[]	[]
2286	Taste of Nature	Booth: 5539	['Markham,', 'ON', 'Canada']	We are Taste of Nature, a Canadian company established in 1989. We develop and manufacture certified organic, non-GMO, gluten-free, kosher, and vegan snack bars/bites and private label products. We use only the best ingredients –real nuts, and organic fruit, with no fillers, additives, or artificial products.  When you choose a Taste of Nature snack bar, you’re making a smart choice for your body and your taste buds!	Brands: Taste of Nature	['Services', 'Special Attributes']	[['Contract Manufacturing'], ['Convenience', 'Gluten/Wheat Free', 'Kosher/Parve', 'Organic Processed/Packaged', 'Vegan']]
2287	Taste Republic	Booth: 5077	['Madison,', 'WI', 'United States']	Taste Republic creates delicious, nourishing and functional food to improve the lives of others. We take a collaborative approach to our relationships, knowing that when our customers succeed, we succeed. Taste Republic is the BEST tasting gluten-free pasta on the market and we are excited to have you taste the difference.	Brands: Tribe 9 creates delicious, nourishing, and functional food to improve the lives of others. 
