1397	M.A.D. Foods	Booth: N2305	['New York,', 'NY', 'United States']	We are in the Fats Business!  Specialty and everyday finishing and grilling butters, 82% butterfat, no artificial ingredients, great ROI for Dairy, Specialty, even Meat counters. Perishable Duck Fat, shelf stable Beef Tallow and Bacon Fat.  Private Label -Yes!  Plant-Based Butter - Yes!	Brands: Aux Délices des Bois
Butter Craft Provisions
Private Label	['Dairy & Eggs', 'Raw Ingredients', 'Special Attributes', 'Baking & Cooking Ingredients']	[['Butter'], ['Fats & Oils'], ['Allergy Free', 'Dairy Free', 'Vegan'], ['Cooking Oils & Shortening', 'Shortening & Lard']]
1398	MAAN DATES	Booth: 5757	['Dubai,', 'United Arab Emirates']	N/A	N/A	['Breakfast', 'Condiments & Sauces', 'Snacks', 'Special Attributes']	[['Breakfast Bars'], ['Jams & Fruit Spreads'], ['Dried Fruit', 'Fruit Snacks', 'Other Snacks'], ['Gluten/Wheat Free', 'Kosher/Parve', 'Organic Food & Bev']]
1399	Maazah	Booth: N1338	['Minneapolis,', 'MN', 'United States']	The Sajady sisters grew up dousing rice, eggs and basically EVERYTHING in their Mother’s Magic Green Sauce, a punchy fresh Afghan chutney made of cilantro and ginger. Maazah partners with The Malala Fund donating 1% of total sales to support girls’ education around the world. Maazah is a Kroger Go Fresh & Local Supplier and recently completed the ImpactSKU accelerator. Product line is available nationwide through UNFI, KeHe and GFI.	Brands: Inspired by Mom’s secret green chutney recipe – the fresh cilantro and ginger is perfectly complemented by garlic, zesty lemon, and jalapeno pepper for a flavor burst that transforms any meal into something one-of-kind.	['Special Attributes']	[['Ethnic/Multicultural', 'Food Service Ready', 'Low Carb', 'Specialty/Gourmet']]
1400	Machu Picchu Energy	Booth: N547	['Santa Monica,', 'CA', 'United States']	N/A	N/A	['Special Attributes']	[['Functional Beverage']]
1401	Machu Picchu Foods	Booth: 2147	['Lima,', 'Lima', 'Peru']	We are a Peruvian company with many years in the organic cacao and chocolate market. Our principal commitment is to offer the highest quality, healthy & nutritional products, all certified: USDA/NOP, EU, JAS, FT & KOSHER PARVE. We are the tailor-made leader of the chocolate industry, providing  innovative and customizeable products in retail and bulk presentations which, thanks to our dedicated facility, could be Vegan, Gluten free, Kosher Parve and/or Free of the Top 8 Allergens.	N/A	['Special Attributes', 'Baking & Cooking Ingredients', 'Breakfast', 'Candy', 'Snacks']	[['Allergy Free', 'Cocoa', 'Dairy Free', 'Gluten/Wheat Free', 'Kosher/Parve', 'Organic Dairy', 'Organic Food & Bev', 'Organic Ingredients', 'Sustainability', 'Vegan'], ['Baking & Cooking Mixes', 'Baking Chips & Chocolate'], ['Pancake, Crepes & Waffle Mix'], ['Candied & Chocolate Covered Snacks', 'chocolate bars & candy'], ['Cereal & Granola Bars', 'Crackers']]
1402	MacroCap Labs, LLC	Booth: 4882	['Longwood,', 'FL', 'United States']	N/A	N/A	[]	[]
1403	Maggie's Organics	Booth: 2964, F70	['Dexter,', 'MI', 'United States']	N/A	N/A	['Special Attributes']	[['Full Line Organic']]
1404	Magiktea	Booth: N2309	['Odessa,', 'FL', 'United States']	After discovering palo azul, we couldn't believe that almost nobody knew about this incredible fluorescent & healthy tea. Palo azul means "blue stick", and it gets its name because the bark of the plant is used to brew an incredible blue fluorescent tea, which is also antioxidant, alkaline and much more. That's why we started Magiktea...to share palo azul so that everyone can enjoy mother nature's most magical tea!	Brands: Magiktea	['Special Attributes']	[['Allergy Free', 'Dairy Free', 'Ethnic/Multicultural', 'Functional Beverage', 'Gluten/Wheat Free', 'Low Carb', 'Vegan']]
1405	Magnum Coffee Roastery	Booth: 211	['Nunica,', 'MI', 'United States']	N/A	Brands: Magnum Exotics, Magnum Taste of the Exotics	[]	[]
1406	Magtein	Booth: 3013	['City of Industry,', 'CA', 'United States']	AIDP is an industry leader in developing and sourcing innovative ingredients for the health and functional food and beverage industries. For over 20 years, AIDP has developed an expertise in providing premium, research-based ingredients for wellness and healthy aging as well as solving formulation challenges for manufacturers. AIDP's portfolio features unique branded ingredients for cognitive, digestive, bone, joint and skin health plus over 200 commodities and complete line of plant proteins.	Brands: Magtein®, PreticX®, Actazin™, Livaux®, BeautyOLIGO™, VegD3®, GutGard®, BacoMind™, OciBest™, APBio®, Turmacin™,  KoACT®	['Raw Ingredients', 'Special Attributes']	[['Activated/Metabolite Forms', 'Branded Ingredients', 'Herbs', 'Other', 'Probiotics', 'Proteins/Amino Acids', 'Vitamins'], ['Functional Beverage', 'Functional Food', 'Vegan']]
1407	Maison Riviere USA, LLC	Booth: N529	['MIAMI BEACH,', 'FL', 'United States']	Aroma One is a range of Organic aromatic herbs. Made in France with fresh herbs, olive oil, and a dash of lemon juice, our consumers love their amazing taste. Our ready-to-use squeezable herbs offer tremendous convenience, saving cleaning and preparation time. Add them to your favorite foods to boost flavors like never before. We chop, you Cook.	Brands: Aroma One	['Condiments & Sauces', 'Packaging', 'Raw Ingredients']	[['Condiments & Sauces', 'Salad Dressings'], ['Recycled Products'], ['Herbs']]
