2430	Uglies Kettle Chips	Booth: N901	['Womelsdorf,', 'PA', 'United States']	Uglies Kettle Chips is dedicated to creating honestly delicious snacks while cultivating a purpose and supporting a cause. By using naturally IMPERFECT potatoes to craft the best-tasting, kettle-cooked chips we're supporting farmers, reducing food waste, and fighting hunger by donating a portion of profits to help feed undernourished children.	Brands: Uglies Kettle Chips
	['Special Attributes', 'Snacks']	[['Convenience', 'Dairy Free', 'Food Service Ready', 'Gluten/Wheat Free', 'Kosher/Parve', 'Organic Ingredients', 'Vegan'], ['Chips']]
2431	Ultima Replenisher	Booth: 2722	['Aventura,', 'FL', 'United States']	
	Brands: Great Lakes Wellness, Jade Leaf Matcha, From Great Origins, Vega
	['Special Attributes']	[['Functional Beverage', 'Functional Food', 'Gluten/Wheat Free', 'Kosher/Parve', 'Vegan']]
2432	Unbound Snacks	Booth: 2897	['Yuba City,', 'CA', 'United States']	Unbound seasoned, dry roasted walnuts are prepared with just the right amount of seasoning for the perfect snacking experience.  Generations of hard work and dedication are deeply rooted in the Sacramento Valley of California. The Unbound Snacks brand has emerged from the region as a symbol of the American dream and the freedom we all enjoy. Work hard, be kind to one another and live life Unbound!	Brands: Unbound Snacks	[]	[]
2433	Uncle Harry's Natural Products	Booth: 2881	['Redmond,', 'WA', 'United States']	N/A	N/A	[]	[]
2434	Uncle Lee's Tea	Booth: 1905	['S El Monte,', 'CA', 'United States']	Uncle Lee's Tea is part of the largest, best known tea company in the Far East. Uncle Lee's maintains the tradition of offering some of the best quality tea to discriminating drinkers.	Brands: Uncle Lee's Tea
Ten Fu's Tea	['Services', 'Special Attributes']	[['Contract Manufacturing'], ['Ethnic', 'Kosher/Parve']]
2435	Uncle Matt's Organic	Booth: N623	['Clermont,', 'FL', 'United States']	N/A	Brands: Uncle Matt's Organic	['Juice']	[['Fruit Juice', 'Fruit Punch', 'Lemonade & Lemon Juice']]
2436	Undercover Chocolate Co.	Booth: 5324	['East Hanover,', 'NJ', 'United States']	Makers of crazy crispy, wildly crunchy Chocolate Quinoa Crisps!	Brands: Undercover Snacks	['Special Attributes']	[['Allergy Free', 'Convenience', 'Gluten/Wheat Free', 'Kosher/Parve', 'Vegan']]
2437	UNFI	Booth: 537	['Providence,', 'RI', 'United States']	United Natural Foods, Incorporated is the leading independent national distributor of natural and organic foods and related products, including nutritional supplements and personal care items, in the United States.	N/A	['Special Attributes']	[['Allergy Free', 'Food Service Ready', 'Full Line', 'Full Line Organic', 'Specialty/Gourmet']]
2438	UNFI Wellness	Booth: 2735	['Uniondale,', 'NY', 'United States']	Leading dist. of vitamins and nutritional supps since 1975. 2 warehouses for second day or next day service in most areas.  Largest product selection with over 13,000 products from 500 vendors. The BEST dedicated sales and customer service reps.	N/A	['Special Attributes']	[['Functional Beverage']]
2439	Uni-Caps, LLC	Booth: 3769	['Brea,', 'CA', 'United States']	N/A	N/A	[]	[]
2440	Unifiller Systems	Booth: 1614	['Delta,', 'BC', 'Canada']	N/A	N/A	[]	[]
